                    | LZW.java  | MyLZW.java -n  | MyLZW.java -r  |  MyLZW.java -m  |  7zip
all.tar             |   1.64    |     1.69       |     2.57       |      1.41       |   3.66
assig2.doc          |   1.17    |     2.17       |     2.17       |      2.17       |   4.20
bmps.tar            |   1.20    |    13.67       |    13.67       |     13.67       |   20.45
code.txt            |   2.34    |     2.95       |     2.95       |      2.95       |   5.22
code2.txt           |   2.39    |     2.81       |     2.81       |      2.81       |   4.70
edit.exe            |   0.94    |     1.51       |     1.55       |      1.51       |   2.41
frosty.jpg          |   0.71    |     0.77       |     0.74       |      0.77       |   0.79
gone_fishing.bmp    |   1.87    |     1.93       |     1.93       |      1.93       |   2.13
large.txt           |   2.01    |     2.43       |     2.31       |      2.43       |   3.03
Lego-big.gif        |   0.72    |     0.76       |     0.76       |      0.76       |   1.01
medium.txt          |   1.93    |     2.02       |     2.02       |      2.02       |   2.44
texts.tar           |   1.37    |     2.31       |     2.34       |      2.31       |   3.17
wacky.bmp           |   214.31  |   233.40       |   233.40       |    233.40       |   452.68
winnt256.bmp        |   0.99    |     2.50       |     2.50       |      2.50       |   3.59
